id,name,email,phone_number,public_phone_number,blurb,profession,profile_photo,vanity_url,time_zone,source_systems,google_microform_eligibility,gallery_cover_image,is_effectively_online_bookable,cancellation_policy,cancellation_policy_text,private_sms_phone_number,accepted_terms,field_group,rating_stars,twitter,facebook_url,website,yelp_url,blog_url,address1,address2,city,state,zipcode,neighborhood
1008000,The Fix Esthetics,tashacohn@hotmail.com,,,,Salon,,thefixesthetics-sonoma2-ca,America/Los_Angeles,[],True,,False,,,,[],,,,,,,,"156 E Napa St, Suite C",,Sonoma,CA,95476,
1022000,CURRENTLY ON MATERNITY LEAVE,kaygreen1023@gmail.com,,,,Salon,,currentlyonmaternityleave-jonesboro-ga,US/Eastern,[],True,,False,,,,[],,,,,,,,,,Jonesboro,GA,30236,
104000,Perfectly Balanced Massage,Perfectlybalancedmt@yahoo.com,407-697-0697,,,Salon,,perfectlybalancedmassage-longwood-fl,US/Eastern,[],True,,False,,,,[],,,,,,,,2933 West State Road 434,Suite 111,Longwood,FL,32779,
1054000, ,styled.by.Shana@gmail.com,,,,Salon,,-1212-,US/Pacific,[],True,,False,,,,[],,,,,,,,,, , ,,
1059000,SheHairCare,sheericagriffin@yahoo.com,901-219-4849,,,Salon,,shehaircare-memphis-tn,US/Central,[],True,,False,,,,[],,,,,,,,3289 Kirby parkway,,Memphis,TN,,Hickory Ridge-South Riverdale
1070000,Coco Hair Co.,Dejha.love3@gmail.com,404-855-1994,,,Salon,,cocohairco-unioncity5-ga,US/Eastern,[],True,,False,,,,[],,,,,,,,6810 Shannon Parkway,,Union City,GA,30291,
1090000,Erika's Nails @ A 'la Mode,erikarshoffner@gmail.com,901-487-5514,,,Salon,,erikasnailsalamode-germantown-tn,America/Chicago,[],True,,False,,,,[],,,,,,,,9067 Poplar Ave Suite 101,,Germantown,TN,38138,
1091000,Styles by E,erin.presley90@yahoo.com,832-798-7143,,,Salon,,stylesbye-missouricity-tx,US/Central,[],True,,False,,,,[],,,,,,,,2531 Cartwright Road,,Missouri City,TX,77459,
1098000,Colenails,colenails@yahoo.com,708-655-5551,,,Salon,,colenails-robbins-il,US/Central,[],True,,False,,,,[],,,,,,,,Call for address,Near 139th & Pulaski,Robbins,IL,60472,
1099000,cutt'n up barbershop,leronzowilliams@yahoo.com,618-204-3956,,,Salon,,cuttnupbarbershop-mountvernon2-il,America/Chicago,[],True,,False,,,,[],,,,,,,,1013 broadway,,Mount Vernon,IL,62864,
1107000,Sbs Beauty,debrapascal@gmail.com,,,,Salon,,sbsbeauty-portcharlotte-fl,US/Eastern,[],True,,False,,,,[],,,,,,,,2802 Tamiami Trail,,Port Charlotte,FL,33952,
1111000,Royalhaircare,sroyalhaircare@gmail.com,917-663-0027,,,Salon,,royalhaircare-newyork2-ny,America/New_York,[],True,,False,,,,[],,,,,,,,Natural Sisters Hair Salon,2063 123rd st Adam Clayton Powell Blvd,New York,NY,10027,Morningside Heights
1122000,Primp Hair and Nail Salon,kylianne.thomas@gmail.com,423-263-3399,,,Salon,,primphairandnailsalon-etowah-tn,America/New_York,[],True,,False,,,,[],,,,,,,,1129 Tennessee Ave.,,Etowah,TN,37331,
1128000,Braids by Kamari,kamarifletcher@yahoo.com,916-262-5246,,,Salon,,braidsbykamari-neworleans-la,US/Central,[],True,,False,,,,[],,,,,,,,,,New Orleans,LA,70125,Marlyville-Fontainebleau
1141000,Heavy Hittaz Barbershop,coolmancruise21@gmail.com,561-889-3159,,,Salon,,heavyhittazbarbershop-boyntonbeach7-fl,US/Eastern,[],True,,False,,,,[],,,,,,,,701 N Congress,bay 5,Boynton Beach,FL,33426,
1148000,Real Sisters Salon,reesedarrian@yahoo.com,317-652-8360,,,Salon,,realsisterssalon-indianapolis-in,America/New_York,[],True,,False,,,,[],,,,,,,,2804 E 55th Pl,Suite L,Indianapolis,IN,46220,
1162000,glambykeira,shakeirae@yahoo.com,602-323-6657,,,Salon,,glambykeira-phoenix-az,US/Arizona,[],True,,False,,,,[],,,,,,,,2140 E Baseline Rd,,Phoenix,AZ,85042,South Mountain
1166000,Leondra Braids,leondrabraids@gmail.com,804-426-8611,,,Salon,,leondrabraids-richmond-va,US/Eastern,[],True,,False,,,,[],,,,,,,,3023 Krouse Street,,Richmond,VA,23234,Jeff Davis
1169000,Whipped Affhairz,whippedaffhairz@gmail.com,602-465-7670,,,Salon,,whippedaffhairz-peoria-az,America/Phoenix,[],True,,False,,,,[],,,,,,,,6750 w. Olive Ave ste 104,,Peoria,AZ,85345,
1200000,Salons by JC (Blades of Perfection),hartman7771@gmail.com,919-923-8388,,,Salon,,salonsbyjcbladesofperfection-raleigh-nc,US/Eastern,[],True,,False,,,,[],,,,,,,,6140 Falls of Neuse Rd.,Studio #12,Raleigh  ,NC,27609,North
1207000,Shear Miracles Salon,kkwhited@gmail.com,937-981-4041,,,Salon,,shearmiraclessalon-greenfield-oh,US/Eastern,[],True,,False,,,,[],,,,,,,,425 S Washington St,,Greenfield,OH,45123,
15000,Lets Talk Pretty &Co.,pilarh25@yahoo.com,214-226-8079,,,Salon,,letstalkprettyco-dallas-tx,US/Central,[],True,,False,,,,[],,,,,,,,6115 La Vista Drive,Suite 208,Dallas,TX,75214,Northeast Dallas
153000,Posh Hair District,poshhairstyles@gmail.com,404-585-7674,,,Salon,,poshhairdistrict-atlanta-ga,America/New_York,[],True,,False,,,,[],,,,,,,,935 Marietta St,Suite 030,Atlanta,GA,30318,Downtown
44000,Angles By XoticStrands,xoticstrands@ymail.com,330-928-8541,,,Salon,,anglesbyxoticstrands-cuyahogafalls-oh,America/New_York,[],True,,False,,,,[],,,,,,,,722 Graham Rd,,cuyahoga Falls,OH,44221,
610000,Charismas Creations,charismacreations@hotmail.com,612-259-8588,,,Salon,,charismascreations-minneapolis-mn,US/Pacific,[],True,,False,,,,[],,,,,,,,4167 Lyndale Ave N,,Minneapolis,MN,55412,Webber-Camden
691000,Krucial Kutz,jarvisburse@gmail.com,504-666-6672,,,Salon,,krucialkutz-terrytown-la,US/Central,[],True,,False,,,,[],,,,,,,,294 Wright Avenue,Apartment 153,Terrytown,LA,70056,
709000,GRIPS INK,www.gripsink@gmail.com,770-354-4255,,,Salon,,gripsink-atlanta-ga,US/Eastern,[],True,,False,,,,[],,,,,,,,168 Trinity Avenue Southwest,,Atlanta,GA,30303,Downtown
71000,Lux salon,mwinston.style@gmail.com,443-252-8944,,,Salon,,luxsalon-baltimore4-md,US/Eastern,[],True,,False,,,,[],,,,,,,,226 West Read Street,,Baltimore,MD,21201,Reservoir Hill-Bolton Hill Area
777000,Lady Styles Hair Design,combtogetherstylez1@gmail.com,704-252-1312,,,Salon,,ladystyleshairdesign-laurel-md,US/Eastern,[],True,,False,,,,[],,,,,,,,13600 Baltimore Ave,Suite 112,Laurel ,MD,20707,
803000,Nail Excitement,nailexcitement@gmail.com,918-810-6587,,,Salon,,nailexcitement-tulsa-ok,US/Central,[],True,,False,,,,[],,,,,,,,6642 South Utica Place,,Tulsa,OK,74136,
873000,Waves,chellelove69@gmail.com,435-882-1330,,,Salon,,waves-tooele2-ut,US/Mountain,[],True,,False,,,,[],,,,,,,,233 S. Main,,Tooele,UT,84074,
883000,The Shoppe at Windham Falls,apezzello@gmail.com,860-710-1818,,,Salon,,theshoppeatwindhamfalls-groton-ct,America/New_York,[],True,,False,,,,[],,,,,,,,425 Drozdyk Dr.,,Groton,CT,06340,
887000,Self,lita2teddle3@msn.com,540-623-2337,,,Salon,,self-lorton-va,America/New_York,[],True,,False,,,,[],,,,,,,,8130 McCauley Way,Apt 1212,Lorton,VA,22079,
895000,Makeup By Lisa J,MUALisaJ@gmail.com,702-883-0018,,,Salon,,makeupbylisaj-lasvegas-nv,US/Pacific,[],True,,False,,,,[],,,,,,,,Mobile Beauty Service ,,Las Vegas,NV,89148,
928000,New York Stylez,cockhren@gmail.com,817-795-7233,,,Salon,,newyorkstylez-arlington3-tx,America/Chicago,[],True,,False,,,,[],,,,,,,,3415 S Collins St.,Ste 109,Arlington,TX,76014,East
939000,Makeup by Marissa,chicmodish@gmail.com,,,,Salon,,makeupbymarissa-hurst-tx,America/Chicago,[],True,,False,,,,[],,,,,,,,,,Hurst,TX,76053,
94000,Dynamite Braids Hair Salon & Raw Dynamite Virgin Hair Co.,dynamitebraidsonthegoteam@yahoo.com,215-715-9839,,,Salon,,dynamitebraidshairsalonrawdynamitevirginhairco-philadelphia-pa,America/New_York,[],True,,False,,,,[],,,,,,,,7047 Frankford Ave.,,Philadelphia,PA,19135,Mayfield
991000,HairNV,hairnv.ca@gmail.com,949-505-2659,,,Salon,,hairnv-lakeforest-ca,America/Los_Angeles,[],True,,False,,,,[],,,,,,,,23600 rockfield blvd. suite 3a-b rm. 124,,lake forest,CA,92630,
1008001,Fabulous Illusion Health and Beauty,denisesobeautyfull@gmail.com,510-255-1176,,,Salon,,fabulousillusionhealthandbeauty-oakland-ca,US/Pacific,[],True,,False,,,,[],,,,,,,,6105 Shattuck Avenue,,Oakland,CA,94609,Bushrod
1029001,Fazio Hair Palace,ldonarski1@gmail.com,321-663-4665,,,Salon,,faziohairpalace-orlando2-fl,America/New_York,[],True,,False,,,,[],,,,,,,,7314 E Colonial Drive,,Orlando,FL,32807,
1051001,Mindy's Make Overs LLC,mindydcarter@gmail.com,801-643-1060,,,Salon,,mindysmakeoversllc-sandy-ut,America/Denver,[],True,,False,,,,[],,,,,,,,9285 S Village Shop Dr,studio 20,Sandy,UT,84070,
1081001,Lash Out Lashes/1000 Watts,impdiva@yahoo.com,312-515-5794,,,Salon,,lashoutlashes1000watts-markham-il,America/Chicago,[],True,,False,,,,[],,,,,,,,3710 w. 167th st,,Markham,IL,60428,
1087001,Moxie Hair Lounge,heathermcguire920@gmail.com,920-783-6700,,,Salon,,moxiehairlounge-sheboygan4-wi,US/Central,[],True,,False,,,,[],,,,,,,,833 Pennsylvania Avenue,,Sheboygan,WI,53081,
1089001,Ace of fades,mccummings6@gmail.com,,,,Salon,,aceoffades-antioch3-ca,America/Los_Angeles,[],True,,False,,,,[],,,,,,,,,,Antioch,CA,94509,
1119001,Planet Beauty Dana Point,dearcalkins@yahoo.com,949-493-7111,,,Salon,,planetbeautydanapoint-danapoint-ca,US/Pacific,[],True,,False,,,,[],,,,,,,,32525 Golden Lantern St.,,Dana Point,CA,92629,
1127001,Cannabispa,Cannabispa@gmail.com,202-618-2256,,,Salon,,cannabispa-washington-dc,US/Eastern,[],True,,False,,,,[],,,,,,,,3429 14th st NW ,,Washington ,DC,20010,Columbia Heights
1131001,Luxury Lash Bar by Doodles,shawonnaward@aol.com,302-477-1188,,,Salon,,luxurylashbarbydoodles-wilmington-de,US/Eastern,[],True,,False,,,,[],,,,,,,,3646 Silverside Road,,Wilmington,DE,19806,
